# Synthetic Dataset: iris_like
# Samples: 150, Features: 4, Classes: 3
# Format: feature1,feature2,...,featureN,class

# feature1,feature2,feature3,feature4,class
0.067250,0.602246,0.637217,1.172138,0
2.355742,2.390662,2.925508,2.960256,1
4.044191,4.078938,4.613562,4.648037,2
0.371960,0.406436,0.940740,0.974849,0
2.124977,2.659086,2.692978,3.226631,1
3.817593,4.351245,4.384636,4.917745,2
0.162796,0.695905,0.728711,1.261196,0
2.384735,2.417219,2.949363,2.981148,1
4.088603,4.120389,4.651798,4.682816,2
0.435521,0.466539,0.997150,1.027340,0
2.132275,2.662466,2.692222,3.221534,1
3.854141,4.383453,4.412308,4.940697,2
0.187150,0.715539,0.743454,1.270887,0
2.365914,2.393348,2.920293,2.946746,1
4.111945,4.138398,4.664355,4.689813,2
0.416263,0.441721,0.966679,0.991137,0
2.085263,2.609721,2.633681,3.157146,1
3.860817,4.384282,4.407254,4.929739,2
0.123183,0.645668,0.667673,1.189205,0
2.291341,2.312873,2.833941,2.854554,1
4.100749,4.121363,4.641532,4.661270,2
0.310017,0.329755,0.849074,0.867990,0
1.986562,2.505478,2.524004,3.042158,1
3.832933,4.351087,4.368885,4.886345,2
-0.019455,0.498006,0.515147,1.031989,0
2.174584,2.191426,2.707990,2.724296,1
4.059636,4.075942,4.592011,4.607868,2
0.139964,0.155820,0.671486,0.686983,0
1.860036,2.375534,2.390888,2.906123,1
3.783970,4.299205,4.314344,4.829413,2
-0.205495,0.309574,0.324597,0.839599,0
2.048147,2.063149,2.578156,2.593192,1
4.009572,4.024608,4.539698,4.554867,2
-0.049039,-0.033870,0.481402,0.496802,0
1.744299,2.259699,2.275250,2.790977,1
3.740216,4.255942,4.271868,4.788015,2
-0.383845,0.132302,0.148692,0.665347,0
1.953555,1.970210,2.487151,2.504397,1
3.979405,3.996652,4.514224,4.532139,2
-0.203600,-0.185685,0.332593,0.351248,0
1.680196,2.198851,2.217901,2.737360,1
3.729986,4.249445,4.269327,4.789644,2
-0.503015,0.017302,0.038067,0.559290,0
1.927308,1.948531,2.470221,2.492387,1
3.993807,4.015973,4.538621,4.561759,2
-0.278249,-0.255112,0.268519,0.292646,0
1.696465,2.220593,2.245219,2.770345,1
3.771470,4.296596,4.322222,4.848346,2
-0.527232,-0.001108,0.025511,0.552621,0
1.987529,2.014639,2.542235,2.570310,1
4.062199,4.090274,4.618821,4.647831,2
-0.249839,-0.220829,0.308633,0.338537,0
1.798594,2.328498,2.358831,2.889581,1
3.863832,4.394581,4.425733,4.957270,2
-0.447912,0.083625,0.115533,0.647793,0
2.126077,2.158338,2.690932,2.723842,1
4.172951,4.205861,4.739067,4.772548,2
