# Synthetic Dataset: large_multi
# Samples: 300, Features: 8, Classes: 5
# Format: feature1,feature2,...,featureN,class

# feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,class
-0.012400,0.657596,0.527567,1.197488,1.067334,1.737081,2.406704,2.276180,0
3.499592,3.369512,4.039359,3.909106,4.578729,4.448204,5.117509,4.986618,1
6.111541,5.981289,6.650911,6.520387,7.189691,7.858801,7.727693,8.396345,2
8.835172,9.504647,9.373952,10.043060,9.911953,10.580606,10.448997,11.117105,3
11.765676,12.434786,12.303678,12.972328,12.840720,13.508829,14.176636,14.044120,4
0.471360,0.340012,1.008403,0.876512,1.544318,2.211802,2.078946,2.745731,0
3.126574,3.794682,3.662488,4.329973,4.197116,4.863901,4.730310,5.396328,1
5.749420,6.416904,6.284048,6.950832,6.817241,7.483259,8.148870,8.014061,2
9.336324,9.203109,9.869518,9.735536,10.401147,10.266337,10.931094,10.795405,3
12.311807,12.177824,12.843436,12.708625,13.373382,14.037694,13.901548,14.564939,4
0.108863,0.774053,0.638810,1.303121,1.166976,1.830365,2.493280,2.355713,0
3.522264,3.386575,4.050430,3.913819,4.576734,4.439167,5.101112,4.962565,1
6.175035,6.038424,6.701338,6.563772,7.225717,7.887170,7.748126,8.408584,2
9.024508,9.686941,9.548887,10.210339,10.071296,10.731753,10.591712,11.251170,3
12.021575,12.683029,12.543985,13.204441,13.064400,13.723858,14.382819,14.241282,4
0.486613,0.347071,1.007029,0.866487,1.525447,2.183911,2.041884,2.699369,0
3.079113,3.738571,3.597531,4.255996,4.113967,4.771453,4.628458,5.284991,1
5.778167,6.436632,6.294604,6.952089,6.809094,7.465626,8.121694,7.977307,2
9.482946,9.340432,9.997437,9.853969,10.510036,10.365650,11.020819,10.875557,3
12.476678,12.333210,12.989278,12.844890,13.500059,14.154798,14.009117,14.663033,4
0.003453,0.659066,0.514235,1.168973,1.023293,1.677208,2.330735,2.183888,0
3.399676,3.254413,3.908733,3.762648,4.416174,4.269328,4.922126,4.774587,1
6.156963,6.010879,6.664405,6.517559,7.170356,7.822817,7.674959,8.326800,2
9.104300,9.757453,9.610251,10.262711,10.114853,10.766695,10.618258,11.269565,3
12.071399,12.723860,12.576001,13.227842,13.079407,13.730712,14.381783,14.232639,4
0.271645,0.123488,0.775051,0.626357,1.277427,1.928283,1.778949,2.429447,0
2.896954,3.548259,3.399329,4.050186,3.900851,4.551349,4.401703,5.051938,1
5.718522,6.369378,6.220043,6.870541,6.720895,7.371130,8.021269,7.871339,2
9.491615,9.342113,9.992468,9.842702,10.492842,10.342911,10.992934,10.842937,3
12.413074,12.263309,12.913448,12.763516,13.413539,14.063542,13.913548,14.563585,4
-0.285145,0.364924,0.214947,0.864949,0.714956,1.364992,2.015082,1.865250,0
3.191997,3.041999,3.692006,3.542042,4.192131,4.042300,4.692573,4.542973,1
6.076922,5.926958,6.577047,6.427217,7.077488,7.727889,7.578441,8.229167,2
9.056585,9.706754,9.557026,10.207425,10.057978,10.708704,10.559630,11.210777,3
11.919555,12.569956,12.420507,13.071233,12.922159,13.573306,14.224696,14.076351,4
-0.036603,-0.185876,0.465050,0.316196,0.967587,1.619241,1.471182,2.123429,0
2.709245,3.360392,3.211782,3.863437,3.715377,4.367624,4.220196,4.873112,1
5.649216,6.300871,6.152812,6.805058,6.657629,7.310545,7.963822,7.817479,2
9.415633,9.267880,9.920452,9.773367,10.426644,10.280300,10.934350,10.788808,3
12.214413,12.067327,12.720606,12.574260,13.228310,13.882769,13.737650,14.392968,4
-0.552205,0.101450,-0.044500,0.609959,0.464840,1.120158,1.775923,1.632145,0
3.070698,2.925156,3.580038,3.435355,4.091119,3.947342,4.604033,4.461199,1
6.050415,5.905733,6.561497,6.417719,7.074409,7.731575,7.589224,8.247361,2
8.984950,9.641172,9.497864,10.155028,10.012677,10.670815,10.529446,11.188573,3
11.721077,12.378243,12.235892,12.894028,12.752659,13.411786,14.071413,13.931540,4
-0.207899,-0.349762,0.308869,0.167996,0.827623,1.487748,1.348374,2.009498,0
2.690315,3.349443,3.209069,3.869195,3.729820,4.390944,4.252563,4.914673,1
5.688820,6.348946,6.209572,6.870696,6.732314,7.394424,8.057020,7.920095,2
9.375777,9.236901,9.898520,9.760630,10.423225,10.286301,10.949847,10.813857,3
12.057388,11.919497,12.582094,12.445168,13.108715,13.772725,13.637187,14.302093,4
-0.591476,0.071599,-0.064854,0.599155,0.463618,1.128522,1.793855,1.659605,0
3.170055,3.034065,3.698527,3.563432,4.228765,4.094514,4.760665,4.627203,1
6.162947,6.027852,6.693184,6.558934,7.225085,7.891623,7.758530,8.425790,2
8.991204,9.656954,9.523106,10.189642,10.056550,10.723810,10.591405,11.259315,3
11.631830,12.298368,12.165275,12.832534,12.700130,13.368039,14.036246,13.904727,4
-0.105388,-0.238128,0.429467,0.297377,0.965583,1.634064,1.502800,2.171767,0
2.898571,3.566481,3.434687,4.103168,3.971904,4.640872,4.510049,5.179414,1
5.860929,6.529410,6.398145,7.067113,6.936290,7.605655,8.275183,8.144851,2
9.425309,9.294278,9.963455,9.832819,10.502347,10.372015,11.041798,10.911672,3
12.042319,11.911684,12.581212,12.450878,13.120662,13.790536,13.660477,14.330460,4
-0.366335,0.303332,0.173115,0.842990,0.712930,1.382912,2.052911,1.922901,0
3.453000,3.322874,3.992814,3.862796,4.532794,4.402785,5.072742,4.942641,1
6.362659,6.232642,6.902640,6.772630,7.442587,8.112486,7.982302,8.652009,2
9.064871,9.734860,9.604818,10.274715,10.144532,10.814240,10.683817,11.353237,3
11.677725,12.347625,12.217440,12.887147,12.756723,13.426144,14.095386,13.964424,4
0.198289,0.067997,0.737573,0.606994,1.276235,1.945274,1.814088,2.482655,0
3.203515,3.872936,3.742177,4.411216,4.280029,4.948596,4.816895,5.484905,1
6.044247,6.713286,6.582100,7.250667,7.118965,7.786974,8.454675,8.322046,2
9.493191,9.361758,10.030057,9.898066,10.565765,10.433138,11.100163,10.966823,3
12.121634,11.989643,12.657344,12.524714,13.191738,13.858399,13.724679,14.390562,4
-0.043700,0.623672,0.490696,1.157357,1.023636,1.689519,2.354990,2.220036,0
3.719665,3.586325,4.252605,4.118488,4.783958,4.649004,5.313613,5.177773,1
6.483739,6.349622,7.015092,6.880138,7.544747,8.208906,8.072605,8.735836,2
9.095041,9.760087,9.624696,10.288854,10.152554,10.815784,10.678538,11.340808,3
11.757303,12.421463,12.285162,12.948391,12.811146,13.473414,14.135196,13.996482,4
0.477617,0.340848,1.003601,0.865871,1.527651,2.188937,2.049726,2.710016,0
3.377048,4.039318,3.901098,4.562384,4.423173,5.083463,4.943253,5.602544,1
6.066736,6.728022,6.588811,7.249101,7.108891,7.768181,8.426974,8.285273,2
9.461389,9.321679,9.981469,9.840759,10.499552,10.357850,11.015658,10.872981,3
12.172495,12.031785,12.690578,12.548876,13.206683,13.864007,13.720852,14.377228,4
0.140585,0.798883,0.656691,1.314014,1.170859,1.827234,2.483148,2.338610,0
3.762801,3.620124,4.276969,4.133344,4.789257,4.644720,5.299743,5.154339,1
6.390493,6.246868,6.902781,6.758244,7.413267,8.067863,7.922045,8.575828,2
8.992655,9.648117,9.503140,10.157735,10.011917,10.665700,10.519100,11.172132,3
11.762887,12.417483,12.271665,12.925447,12.778847,13.431878,14.084561,13.936912,4
0.536298,0.390081,1.043481,0.896513,1.549195,2.201546,2.053585,2.705331,0
3.278602,3.931634,3.784316,4.436667,4.288705,4.940452,4.791927,5.443151,1
5.865427,6.517778,6.369817,7.021563,6.873037,7.524261,8.175257,8.026047,2
9.299553,9.151300,9.802774,9.653998,10.304994,10.155784,10.806390,10.656837,3
12.133214,11.984438,12.635434,12.486222,13.136828,13.787276,13.637588,14.287788,4
0.069995,0.720785,0.571391,1.221838,1.072150,1.722350,2.372463,2.222513,0
3.540481,3.390928,4.041239,3.891439,4.541552,4.391603,5.041616,4.891618,1
6.113568,5.963768,6.613881,6.463932,7.113945,7.763947,7.613960,8.264011,2
8.801217,9.451267,9.301282,9.951282,9.801296,10.451346,10.301461,10.951662,3
11.695811,12.345814,12.195827,12.845877,12.695992,13.346191,13.996505,13.846953,4
0.359265,0.209316,0.859430,0.709630,1.359943,2.010391,1.860999,2.511790,0
2.975451,3.625652,3.475964,4.126412,3.977020,4.627811,4.478809,5.130035,1
5.564208,6.214655,6.065264,6.716055,6.567052,7.218278,7.869755,7.721504,2
9.120949,8.971741,9.622738,9.473964,10.125441,9.977190,10.629230,10.481585,3
12.066988,11.918214,12.569691,12.421438,13.073480,13.725834,13.578520,14.231555,4
-0.170424,0.481325,0.333366,0.985720,0.838406,1.491441,2.144843,1.998630,0
3.215717,3.068071,3.720757,3.573792,4.227194,4.080980,4.735167,4.589766,1
5.847680,5.700716,6.354118,6.207904,6.862090,7.516689,7.371716,8.027183,2
8.680616,9.334403,9.188589,9.843187,9.698215,10.353682,10.209599,10.865978,3
11.662156,12.316756,12.171782,12.827248,12.683166,13.339544,13.996395,13.853722,4
0.108244,-0.036289,0.619628,0.476007,1.132856,1.790184,1.647996,2.306299,0
2.691790,3.348169,3.205018,3.862345,3.720157,4.378460,4.237257,4.896553,1
5.388699,6.046026,5.903838,6.562140,6.420938,7.080233,7.740027,7.600322,2
9.095026,8.953330,9.612126,9.471421,10.131215,9.991510,10.652304,10.513594,3
12.091056,11.950351,12.610146,12.470439,13.131232,13.792523,13.654307,14.316582,4
-0.381723,0.278571,0.139364,0.800655,0.662439,1.324713,1.987471,1.850706,0
3.026053,2.887343,3.549128,3.411402,4.074159,3.937394,4.601098,4.465261,1
5.800759,5.663033,6.325790,6.189025,6.852729,7.516892,7.381505,8.046555,2
8.767702,9.430937,9.294641,9.958803,9.823416,10.488465,10.353941,11.019827,3
11.754325,12.418489,12.283101,12.948150,12.813625,13.479511,14.145795,14.012458,4
