# Synthetic Dataset: tiny_debug
# Samples: 30, Features: 2, Classes: 3
# Format: feature1,feature2,...,featureN,class

# feature1,feature2,class
0.146900,0.546896,0
1.211892,1.411812,1
1.976841,2.176589,2
0.301610,0.501086,0
1.131127,1.530236,1
1.900243,2.298895,2
0.242446,0.640555,0
1.240885,1.438369,1
2.021253,2.218038,2
0.365171,0.561189,0
1.138425,1.533616,1
1.936791,2.331103,2
0.266800,0.660190,0
1.222064,1.414497,1
2.044595,2.236048,2
0.345913,0.536371,0
1.091413,1.480871,1
1.943467,2.331931,2
0.202833,0.590318,0
1.147491,1.334023,1
2.033400,2.219013,2
0.239667,0.424405,0
0.992712,1.376627,1
1.915583,2.298737,2
0.060195,0.442656,0
1.030734,1.212576,1
1.992286,2.173591,2
0.069614,0.250470,0
0.866186,1.246684,1
1.866620,2.246855,2
